,turnover
2023-03-20,0.0000
2023-03-27,0.3137
2023-04-03,0.1455
2023-04-10,0.0000
2023-04-17,0.0000
2023-04-24,0.0000
2023-05-02,0.1091
2023-05-08,0.0000
2023-05-15,0.1957
2023-05-22,0.0727
2023-05-29,0.0000
2023-06-05,0.0385
2023-06-12,0.0000
2023-06-19,0.0200
2023-06-26,0.0000
2023-07-03,0.0784
2023-07-10,0.0000
2023-07-17,0.0196
2023-07-24,0.0000
2023-07-31,0.0400
2023-08-07,0.1176
2023-08-14,0.2125
2023-08-21,0.0357
2023-08-28,0.0000
2023-09-04,0.0000
2023-09-11,0.0000
2023-09-18,0.0000
2023-09-25,0.0000
2023-10-02,0.0000
2023-10-09,0.0351
2023-10-16,0.0000
2023-10-23,0.0000
2023-10-30,0.0351
2023-11-06,0.0000
2023-11-13,0.1524
2023-11-20,0.1034
2023-11-27,0.0000
2023-12-04,0.0175
2023-12-11,0.0179
2023-12-18,0.0182
2023-12-26,0.0000
2024-01-02,0.1053
2024-01-08,0.0000
2024-01-15,0.0000
2024-01-22,0.0000
2024-01-29,0.0000
2024-02-05,0.0175
2024-02-14,0.0523
2024-02-19,0.0000
2024-02-26,0.0175
2024-03-04,0.0345
2024-03-11,0.0000
2024-03-18,0.0517
2024-03-25,0.0357
