,retorno
2023-03-20,0.0045
2023-03-27,-0.0044
2023-04-03,0.0016
2023-04-10,0.0287
2023-04-17,0.0001
2023-04-24,-0.0129
2023-05-02,0.0459
2023-05-08,0.0239
2023-05-15,-0.0084
2023-05-22,0.0012
2023-05-29,-0.0123
2023-06-05,0.0161
2023-06-12,0.0110
2023-06-19,-0.0042
2023-06-26,0.0078
2023-07-03,-0.0069
2023-07-10,-0.0053
2023-07-17,0.0160
2023-07-24,0.0080
2023-07-31,0.0082
2023-08-07,-0.0247
2023-08-14,-0.0096
2023-08-21,0.0119
2023-08-28,0.0041
2023-09-04,0.0013
2023-09-11,0.0171
2023-09-18,-0.0010
2023-09-25,-0.0223
2023-10-02,0.0078
2023-10-09,0.0020
2023-10-16,-0.0134
2023-10-23,-0.0256
2023-10-30,0.0436
2023-11-06,0.0244
2023-11-13,0.0233
2023-11-20,-0.0011
2023-11-27,0.0172
2023-12-04,0.0053
2023-12-11,0.0111
2023-12-18,0.0141
2023-12-26,-0.0106
2024-01-02,-0.0158
2024-01-08,-0.0111
2024-01-15,-0.0142
2024-01-22,0.0010
2024-01-29,0.0060
2024-02-05,-0.0028
2024-02-14,0.0048
2024-02-19,0.0147
2024-02-26,-0.0062
2024-03-04,0.0031
2024-03-11,0.0009
2024-03-18,-0.0180
2024-03-25,0.0022
